locate,symbol,prints,unpriced,min_tick,max_tick,shares,vwap_micro
3062,DMAC,691,0,60000,62400,27803,60494140920
10173,SKOR,44,0,482600,483100,3207,482794730277
12117,WIP,15,0,396700,398300,628,397291719745
1844,CAF,5,0,195700,197600,103,196632038834
11358,TWO-A,3,0,248000,248000,166,248000000000
1085,BBC,22,0,422700,431000,417,426283693045
228,AERTW,6,0,200,231,1000,210300000
10501,SPXX,27,0,178000,178500,6009,178354251955
1482,BMGL,6,0,7000,7000,10000,7000000000
7698,NEHI,2,0,342100,343600,416,343592788461
4505,GAB-G,11,0,200500,201800,1665,200741501501
6876,LVHI,64,0,409500,410300,5519,409834915745
7951,NTRP,48,0,24300,25600,16307,25169914760
3908,FCFY,1,0,265100,265100,2,265100000000
5085,HAWX,9,0,437700,438800,185,438307027027
9977,SEAT,491,0,91500,102100,25071,96605308922
4648,GFR,178,0,61000,62100,8775,61617846153
4142,FLBR,4,0,227100,229500,179,227438547486
6031,IYG,242,0,861500,868200,24729,862338602450
2970,DGT,10,0,1824000,1830000,374,1827556149732
11679,VATE,39,0,103600,116000,2534,106496764009
11888,VPV,13,0,108400,108800,739,108571312584
1615,BRKRP,10,0,3299200,3339500,67,3326259701492
9529,RJDI,4,0,289300,290700,800,290187500000
244,AFGE,16,0,166900,168000,398,167408542713
10517,SQFTW,58,0,143,171,5934,166146612
4572,GDE,27,0,679700,684100,2473,681434735139
4837,GOLF,475,0,853500,869800,15423,856938889969
4704,GITS,3,0,13500,14100,217,14052995391
4607,GEF.B,73,0,784000,796500,1306,787743185298
5912,ISBA,50,0,404200,412700,822,407476763990
7337,MOV,363,0,267900,273200,11875,270147713684
8303,ORGNW,103,0,10,39,348439,21938098
4639,GF,4,0,117400,118200,267,117800000000
6217,JPRE,15,0,509500,511500,1119,510218945487
9012,PSR,5,0,994600,997900,311,996937942122
7299,MNRS,1,0,420500,420500,6,420500000000
8192,OIO,40,0,17700,19400,2457,18998982498
8828,POCI,49,0,47000,48600,4872,47952688834
6586,LCFY,16,0,42000,45000,841,43492508917
3075,DMX,2,0,499900,500200,45,500033333333
5299,HQWWW,41,0,27800,30000,258,28782170542
9254,QTR,1,0,341000,341000,54,341000000000
10233,SLYG,51,0,1058100,1063800,1738,1060379976985
